,Contig Length,Gene Count,Gene Size,Gene Start,Strand,Gene Product,Accession,Egg Description,Egg Name,Egg GOs,Egg EC,KEGG KO,KEGG Pathway,KEGG Module,KEGG Reaction,KEGG Reaction Class,Egg BRITE,KEGG TC,CAZy,BiGG Reaction,PFAMs
GCA_001896955_000000000023,39837,3,"[347, 881, 668]","[6876, 10514, 13083]","['-', '-', '+']","['hypothetical protein_21', 'hypothetical protein_73', 'hypothetical protein_9']","[656, 661, 663]","['Lipopolysaccharide assembly protein A domain', 'Permuted papain-like amidase enzyme, YaeF/YiiX, C92 family', 'Diphthamide synthase']","['-', 'MA20_24470', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['LapA_dom', 'Peptidase_C92', 'Diphthami_syn_2']"
GCA_001896955_000000000024,25045,1,[461],[2468],['+'],['hypothetical protein_22'],[689],['DsrE/DsrF-like family'],['-'],['-'],['-'],['ko:K09004'],['-'],['-'],['-'],['-'],['ko00000'],['-'],['-'],['-'],['DrsE']
GCA_001896955_000000000028,18631,1,[521],[16911],['-'],['hypothetical protein_61'],[784],['Integral membrane protein (DUF2244)'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['DUF2244']
GCA_001896955_000000000031,20633,2,"[188, 188]","[9899, 16983]","['+', '-']","['hypothetical protein_10', 'hypothetical protein_27']","[837, 848]","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']"
GCA_001896955_000000000039,14594,2,"[2033, 4466]","[5645, 7678]","['+', '+']","['Outer membrane protein assembly factor BamA', 'hypothetical protein_92']","[923, 924]","['Surface antigen', 'TamB, inner membrane protein subunit of TAM complex']","['tamA', 'tamB']","['-', '-']","['-', '-']","['ko:K07278', 'ko:K09800']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['ko00000,ko02000', 'ko00000,ko02000']","['1.B.33.2.4', '-']","['-', '-']","['-', '-']","['Bac_surface_Ag,POTRA', 'TamB']"
GCA_001896955_000000000041,12809,1,[287],[12451],['+'],['hypothetical protein_23'],[955],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-']
GCA_001896955_000000000042,22496,1,[305],[13493],['-'],['hypothetical protein_36'],[969],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-']
GCA_001896955_000000000046,7888,2,"[194, 323]","[1728, 5114]","['+', '+']","['hypothetical protein_37', 'hypothetical protein_24']","[1003, 1008]","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']"
GCA_001896955_000000000050,42596,2,"[356, 263]","[19263, 34545]","['+', '+']","['hypothetical protein_28', 'hypothetical protein_11']","[1067, 1080]","['Putative member of DMT superfamily (DUF486)', '-']","['-', '-']","['-', '-']","['-', '-']","['ko:K09922', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['ko00000', '-']","['-', '-']","['-', '-']","['-', '-']","['DMT_6', '-']"
GCA_001896955_000000000052,40324,1,[290],[35541],['-'],['hypothetical protein_12'],[1141],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-']
GCA_001896955_000000000053,12022,1,[1901],[7849],['-'],['Chaperone protein HtpG'],[1154],['Molecular chaperone. Has ATPase activity'],['htpG'],['-'],['-'],['ko:K04079'],"['ko04141,ko04151,ko04217,ko04612,ko04621,ko04626,ko04657,ko04659,ko04914,ko04915,ko05200,ko05215,ko05418,map04141,map04151,map04217,map04612,map04621,map04626,map04657,map04659,map04914,map04915,map05200,map05215,map05418']",['-'],['-'],['-'],"['ko00000,ko00001,ko01009,ko03029,ko03051,ko03110,ko04131,ko04147']",['-'],['-'],['-'],"['HATPase_c,HATPase_c_3,HSP90']"
GCA_001896955_000000000054,11335,1,[1223],[2221],['+'],['3-hydroxybenzoate 6-hydroxylase'],[1160],['FAD binding domain'],['nah'],['-'],['1.14.13.1'],['ko:K00480'],"['ko00621,ko00624,ko00626,ko01100,ko01120,ko01220,map00621,map00624,map00626,map01100,map01120,map01220']",['-'],"['R00818,R05632,R06915,R06936,R06939']",['RC00389'],"['ko00000,ko00001,ko01000']",['-'],['-'],['-'],['FAD_binding_3']
GCA_001896955_000000000055,2382,3,"[248, 257, 1526]","[101, 349, 622]","['-', '-', '-']","['hypothetical protein_68', 'Ethanolamine utilization protein EutN', 'hypothetical protein_30']","[1172, 1173, 1174]","['Ethanolamine utilisation protein EutN/carboxysome', 'Ethanolamine utilisation protein EutN/carboxysome', 'Carboxysome Shell Carbonic Anhydrase']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['EutN_CcmL', 'EutN_CcmL', 'CsoSCA']"
GCA_001896955_000000000066,12202,1,[194],[11888],['-'],['hypothetical protein_38'],[1286],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-']
GCA_001896955_000000000068,26036,1,[260],[19420],['-'],['hypothetical protein_39'],[1308],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-']
GCA_001896955_000000000073,14959,2,"[563, 404]","[4177, 5045]","['-', '-']","['hypothetical protein_13', 'hypothetical protein_72']","[1397, 1398]","['Protein of unknown function (DUF2478)', 'Bacterial regulatory helix-turn-helix protein, lysR family']","['-', 'modE']","['-', '-']","['-', '-']","['-', 'ko:K02019']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', 'ko00000,ko03000']","['-', '-']","['-', '-']","['-', '-']","['DUF2478', 'HTH_1']"
GCA_001896955_000000000074,21259,1,[155],[8602],['+'],['hypothetical protein_86'],[1417],['-'],['MA20_18250'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-']
GCA_001896955_000000000080,22292,1,[377],[20375],['+'],['hypothetical protein_40'],[1497],['-'],['MA20_36600'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-']
GCA_001896955_000000000081,8973,1,[914],[7918],['-'],['Vitamin B12 transporter BtuB'],[1510],['TonB dependent receptor'],['-'],['-'],['-'],['ko:K16092'],['-'],['-'],['-'],['-'],"['ko00000,ko02000']",['1.B.14.3'],['-'],['-'],"['Plug,TonB_dep_Rec']"
GCA_001896955_000000000090,9054,2,"[746, 752]","[6611, 8215]","['-', '+']","['hypothetical protein_62', 'hypothetical protein_41']","[1623, 1624]","['-', 'Cytochrome c']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', 'Cytochrom_C']"
GCA_001896955_000000000095,23817,1,[269],[10910],['-'],['hypothetical protein_79'],[1663],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-']
GCA_001896955_000000000099,20291,5,"[425, 239, 197, 749, 551]","[921, 3028, 5874, 7194, 9860]","['+', '+', '-', '-', '-']","['tRNA (adenine(37)-N6)-methyltransferase', 'hypothetical protein_63', 'hypothetical protein_69', 'hypothetical protein_42', 'hypothetical protein_14']","[1712, 1715, 1718, 1719, 1721]","['Uncharacterised protein family UPF0066', '-', '-', '-', 'Cytochrome c']","['-', '-', '-', '-', 'cyc']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', 'ko:K08738']","['-', '-', '-', '-', 'ko00920,ko01100,ko01120,ko01524,ko02020,ko04115,ko04210,ko04214,ko04215,ko04932,ko05010,ko05012,ko05014,ko05016,ko05134,ko05145,ko05152,ko05161,ko05164,ko05167,ko05168,ko05200,ko05210,ko05222,ko05416,map00920,map01100,map01120,map01524,map02020,map04115,map04210,map04214,map04215,map04932,map05010,map05012,map05014,map05016,map05134,map05145,map05152,map05161,map05164,map05167,map05168,map05200,map05210,map05222,map05416']","['-', '-', '-', '-', 'M00595']","['-', '-', '-', '-', 'R10151']","['-', '-', '-', '-', 'RC03151,RC03152']","['-', '-', '-', '-', 'ko00000,ko00001,ko00002']","['-', '-', '-', '-', '3.D.4.6']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', '-']","['UPF0066', '-', '-', '-', 'Cytochrom_C']"
GCA_001896955_000000000103,8208,2,"[725, 620]","[6522, 7314]","['-', '-']","['hypothetical protein_43', 'hypothetical protein_64']","[1754, 1755]","['Cytidylyltransferase', 'Specifically methylates the adenine in position 37 of tRNA(1)(Val) (anticodon cmo5UAC)']","['-', '-']","['-', '-']","['-', '-']","['ko:K07257', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['ko00000', '-']","['-', '-']","['-', '-']","['-', '-']","['CTP_transf_3', '-']"
GCA_001896955_000000000107,18740,1,[500],[5180],['+'],['hypothetical protein_15'],[1773],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-']
GCA_001896955_000000000109,9840,1,[665],[6946],['+'],['hypothetical protein_44'],[1794],['Acid phosphatase homologues'],['-'],['-'],['3.6.1.27'],['ko:K19302'],"['ko00550,map00550']",['-'],['R05627'],['RC00002'],"['ko00000,ko00001,ko01000,ko01011']",['-'],['-'],['-'],['PAP2']
GCA_001896955_000000000112,6903,1,[416],[4498],['+'],['hypothetical protein_25'],[1826],"['Phage tail tube protein, GTA-gp10']",['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['Phage_TAC_11']
GCA_001896955_000000000125,12132,2,"[932, 296]","[897, 7918]","['+', '+']","['HTH-type transcriptional activator CmpR', 'hypothetical protein_45']","[1922, 1927]","['Function of homologous gene experimentally demonstrated in an other organism', '-']","['cbbR1', '-']","['-', '-']","['-', '-']","['ko:K21703', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['ko00000,ko03000', '-']","['-', '-']","['-', '-']","['-', '-']","['HTH_1,LysR_substrate', '-']"
GCA_001896955_000000000137,9716,5,"[662, 770, 1631, 1157, 1001]","[174, 830, 2687, 4456, 5610]","['+', '+', '-', '-', '-']","['Phosphorylated carbohydrates phosphatase', 'hypothetical protein_46', 'hypothetical protein_47', 'UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase', 'UDP-N-acetylglucosamine 4,6-dehydratase (inverting)']","[1988, 1989, 1991, 1992, 1993]","['haloacid dehalogenase-like hydrolase', 'nUDIX hydrolase', 'transferase activity, transferring glycosyl groups', 'Belongs to the DegT DnrJ EryC1 family', 'Polysaccharide biosynthesis protein']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', '-']","['3.1.3.18', '-', '-', '-', '4.2.1.115,5.1.3.2']","['ko:K01091', '-', '-', '-', 'ko:K15894,ko:K17716']","['ko00630,ko01100,ko01110,ko01130,map00630,map01100,map01110,map01130', '-', '-', '-', 'ko00052,ko00520,ko01100,map00052,map00520,map01100']","['-', '-', '-', '-', 'M00362']","['R01334', '-', '-', '-', 'R00291,R09697']","['RC00017', '-', '-', '-', 'RC00289,RC02609']","['ko00000,ko00001,ko01000', '-', '-', '-', 'ko00000,ko00001,ko00002,ko01000']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', '-']","['-', '-', '-', '-', '-']","['HAD_2', '-', '-', 'DegT_DnrJ_EryC1', 'Polysacc_synt_2']"
GCA_001896955_000000000149,8574,1,[716],[4487],['-'],"[""Orotidine 5'-phosphate decarboxylase""]",[2066],"[""Catalyzes the decarboxylation of orotidine 5'- monophosphate (OMP) to uridine 5'-monophosphate (UMP)""]",['pyrF'],"['GO:0003674,GO:0003824,GO:0004590,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006206,GO:0006207,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009112,GO:0009987,GO:0016829,GO:0016830,GO:0016831,GO:0018130,GO:0019856,GO:0034641,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046112,GO:0046483,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576']",['4.1.1.23'],['ko:K01591'],"['ko00240,ko01100,map00240,map01100']",['M00051'],['R00965'],['RC00409'],"['ko00000,ko00001,ko00002,ko01000']",['-'],['-'],['-'],['OMPdecase']
GCA_001896955_000000000167,42481,2,"[500, 311]","[27525, 41174]","['+', '-']","['hypothetical protein_48', 'hypothetical protein_49']","[2228, 2239]","[""Pyridoxamine 5'-phosphate oxidase like"", '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['Pyrid_ox_like', '-']"
GCA_001896955_000000000172,39822,1,[593],[16993],['-'],['Glucosyl-3-phosphoglycerate phosphatase'],[2282],['Phosphoglycerate mutase family'],['gpmB'],['-'],['5.4.2.12'],['ko:K15634'],"['ko00010,ko00260,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00260,map00680,map01100,map01110,map01120,map01130,map01200,map01230']","['M00001,M00002,M00003']",['R01518'],['RC00536'],"['ko00000,ko00001,ko00002,ko01000']",['-'],['-'],['-'],['His_Phos_1']
GCA_001896955_000000000173,33435,1,[446],[1116],['-'],['hypothetical protein_80'],[2304],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-']
GCA_001896955_000000000175,39264,1,[3260],[35605],['+'],['hypothetical protein_50'],[2367],['Tetratricopeptide repeats'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],"['Peptidase_C14,TPR_10,TPR_8']"
GCA_001896955_000000000176,100864,1,[392],[55046],['-'],['Response regulator protein TodT'],[2422],['Response regulator receiver'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['Response_reg']
GCA_001896955_000000000178,6015,1,[245],[3923],['+'],['hypothetical protein_65'],[2491],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-']
GCA_001896955_000000000179,41771,1,[1118],[3324],['-'],['hypothetical protein_70'],[2495],['Protein of unknown function'],['MA20_30770'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],"['AsmA_2,DUF3971']"
GCA_001896955_000000000180,44436,1,[2000],[27080],['-'],['hypothetical protein_51'],[2558],['AI-2E family transporter'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['AI-2E_transport']
GCA_001896955_000000000184,29336,3,"[1196, 1082, 968]","[7419, 14848, 18742]","['-', '+', '+']","['hypothetical protein', 'Alkanesulfonate monooxygenase', 'hypothetical protein_94']","[2666, 2672, 2674]","['-', 'Luciferase-like monooxygenase', 'Periplasmic binding protein']","['MA20_20990', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', 'ko:K02016']","['-', '-', 'ko02010,map02010']","['-', '-', 'M00240']","['-', '-', '-']","['-', '-', '-']","['-', '-', 'ko00000,ko00001,ko00002,ko02000']","['-', '-', '3.A.1.14']","['-', '-', '-']","['-', '-', '-']","['-', 'Bac_luciferase', 'Peripla_BP_2']"
GCA_001896955_000000000186,5401,1,[1154],[4247],['-'],['Trigger factor'],[2692],['Involved in protein export. Acts as a chaperone by maintaining the newly synthesized protein in an open conformation. Functions as a peptidyl-prolyl cis-trans isomerase'],['tig'],"['GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464']",['-'],['ko:K03545'],['-'],['-'],['-'],['-'],['ko00000'],['-'],['-'],['-'],"['FKBP_C,Trigger_C,Trigger_N']"
GCA_001896955_000000000188,36410,1,[1652],[10519],['-'],['hypothetical protein_16'],[2707],['HemY protein N-terminus'],['lapB'],['-'],['-'],['ko:K02498'],['-'],['-'],['-'],['-'],['ko00000'],['-'],['-'],['-'],"['HemY_N,TPR_19']"
GCA_001896955_000000000189,44353,2,"[536, 584]","[18065, 18625]","['+', '-']","['putative protein', 'hypothetical protein_17']","[2748, 2749]","['Histidine phosphatase superfamily (branch 1)', '-']","['sixA', '-']","['-', '-']","['-', '-']","['ko:K08296', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['ko00000,ko01000', '-']","['-', '-']","['-', '-']","['-', '-']","['His_Phos_1', '-']"
GCA_001896955_000000000190,79213,2,"[158, 425]","[21526, 74836]","['+', '+']","['hypothetical protein_95', 'Sensor protein FixL']","[2790, 2840]","['-', 'Motif C-terminal to PAS motifs (likely to contribute to PAS structural domain)']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', 'PAS,PAS_4']"
GCA_001896955_000000000192,4197,2,"[215, 197]","[31, 1595]","['+', '-']","['hypothetical protein_88', 'hypothetical protein_81']","[2872, 2874]","['Formate/nitrite transporter', '-']","['MA20_17080', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['-', '-']","['Form_Nir_trans', '-']"
GCA_001896955_000000000197,83221,3,"[842, 155, 152]","[2201, 65670, 70800]","['-', '+', '-']","['hypothetical protein_52', 'hypothetical protein_53', 'hypothetical protein_54']","[2919, 2974, 2981]","['Domain of unknown function (DUF4062)', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['-', '-', '-']","['DUF4062', '-', '-']"
GCA_001896955_000000000198,8770,1,[680],[2379],['+'],['hypothetical protein_29'],[2996],['Protein of unknown function (DUF938)'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['DUF938']
GCA_001896955_000000000200,24162,1,[1196],[18590],['-'],['hypothetical protein_18'],[3049],['Acetyltransferase (GNAT) domain'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['-'],['Acetyltransf_6']
GCA_001896955_000000000203,54100,2,"[281, 863]","[34018, 39608]","['+', '-']","['hypothetical protein_26', 'hypothetical protein_55']","[3143, 3149]","['GCN5-related N-acetyl-transferase', 'Squalene/phytoene synthase']","['-', 'crtB']","['-', '-']","['-', '2.5.1.32,2.5.1.99']","['ko:K06975', 'ko:K02291,ko:K18163']","['-', 'ko00906,ko01062,ko01100,ko01110,ko04714,map00906,map01062,map01100,map01110,map04714']","['-', 'M00097']","['-', 'R02065,R04218,R07270,R10177']","['-', 'RC00362,RC01101,RC02869']","['ko00000', 'ko00000,ko00001,ko00002,ko01000,ko01006,ko03029']","['-', '-']","['-', '-']","['-', '-']","['Acetyltransf_CG', 'SQS_PSY']"
GCA_001896955_000000000204,22649,1,[1013],[465],['-'],['Cytochrome c551 peroxidase'],[3165],['Di-haem cytochrome c peroxidase'],['mauG'],['-'],['1.11.1.5'],['ko:K00428'],['-'],['-'],['-'],['-'],"['ko00000,ko01000']",['-'],['-'],['-'],"['CCP_MauG,Cytochrom_C']"
GCA_001896955_000000000205,42651,1,[2141],[1408],['-'],['Ferric-anguibactin receptor FatA'],[3185],['TonB dependent receptor'],['-'],['-'],['-'],['ko:K02014'],['-'],['-'],['-'],['-'],"['ko00000,ko02000']",['1.B.14'],['-'],['-'],"['Plug,TonB_dep_Rec']"
