,Accession,Egg Description,Egg Name,Gene Size,Gene Start,Strand,Egg GOs,Egg EC,KEGG KO,KEGG Pathway,KEGG Module,KEGG Reaction,KEGG Reaction Class,Egg BRITE,KEGG TC,CAZy,BiGG Reaction,PFAMs
Kynurenine formamidase_437,52,Putative cyclase,-,800,60515,-,-,-,-,-,-,-,-,-,-,-,-,Cyclase
hypothetical protein_113,53,Protein involved in outer membrane biogenesis,-,767,61561,-,-,-,-,-,-,-,-,-,-,-,-,-
Spore protein SP21,54,Belongs to the small heat shock protein (HSP20) family,-,260,62525,-,-,-,-,-,-,-,-,-,-,-,-,HSP20
Glycine betaine transporter,55,Belongs to the BCCT transporter (TC 2.A.15) family,-,1697,62837,-,-,-,"ko:K02168,ko:K03451",-,-,-,-,"ko00000,ko02000","2.A.15,2.A.15.1.3,2.A.15.1.4",-,-,BCCT
hypothetical protein_436,57,Glycine zipper 2TM domain,-,314,65035,-,-,-,-,-,-,-,-,-,-,-,-,Rick_17kDa_Anti
hypothetical protein_112,58,Subtilase family,-,1877,65794,+,-,-,ko:K14645,"ko02024,map02024",-,-,-,"ko00000,ko00001,ko01000,ko01002,ko03110",-,-,-,"Big_3_3,Peptidase_S8"
hypothetical protein_619,59,PEP-CTERM motif,-,782,67805,-,-,-,-,-,-,-,-,-,-,-,-,VPEP
putative nitrate/nitrite transporter NarK2,60,nitrate nitrite transporter,narK,1319,68795,-,"GO:0003674,GO:0005215,GO:0005452,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0008509,GO:0015075,GO:0015103,GO:0015291,GO:0015318,GO:0015698,GO:0016020,GO:0016021,GO:0022804,GO:0022857,GO:0031224,GO:0031226,GO:0034220,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944,GO:0098656",-,ko:K02575,"ko00910,map00910",M00615,-,-,"ko00000,ko00001,ko00002,ko02000",2.A.1.8,-,"iEcolC_1368.EcolC_2187,iUTI89_1310.UTI89_C1420",MFS_1
hypothetical protein_111,61,-,-,602,70452,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_110,62,"NfeD-like C-terminal, partner-binding",-,194,71246,+,-,-,-,-,-,-,-,-,-,-,-,NfeD
Chaperone modulatory protein CbpM,64,MerR HTH family regulatory protein,cbpM,317,72306,+,-,-,ko:K18997,-,-,-,-,"ko00000,ko03036",-,-,-,MerR_2
hypothetical protein_109,65,Universal stress protein family,-,857,72647,-,-,-,-,-,-,-,-,-,-,-,-,-
putative protein,67,-,-,395,76126,-,-,-,-,-,-,-,-,-,-,-,-,-
Manganese efflux system protein MneP,70,PFAM Cation efflux,-,920,78094,-,-,-,-,-,-,-,-,-,-,-,-,"Cation_efflux,ZT_dimer"
Histidine ammonia-lyase,71,Aromatic amino acid lyase,-,1520,79094,-,-,-,-,-,-,-,-,-,-,-,-,Lyase_aromatic
hypothetical protein_435,72,-,-,521,80856,+,-,-,-,-,-,-,-,-,-,-,-,-
Putative oxidoreductase SadH,76,Belongs to the short-chain dehydrogenases reductases (SDR) family,-,827,83057,+,-,-,-,-,-,-,-,-,-,-,-,adh_short
hypothetical protein_434,77,Protein of unknown function (DUF3617),-,449,84028,-,-,-,-,-,-,-,-,-,-,-,-,DUF3617
hypothetical protein_433,78,pyridoxamine 5-phosphate,-,560,85149,+,-,-,-,-,-,-,-,-,-,-,-,Putative_PNPOx
putative N-acetyltransferase YafP,79,Acetyltransferase (GNAT) domain,-,494,85734,+,-,-,ko:K03830,-,-,-,-,"ko00000,ko01000",-,-,-,Acetyltransf_10
hypothetical protein_108,80,COG0589 Universal stress protein UspA and related nucleotide-binding proteins,-,608,86235,+,-,-,-,-,-,-,-,-,-,-,-,Usp
hypothetical protein_214,88,CsbD-like,yjbJ,203,93654,-,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464",-,-,-,-,-,-,-,-,-,-,CsbD
hypothetical protein_432,89,OmpA-like transmembrane domain,-,650,94361,-,-,-,ko:K16079,-,-,-,-,"ko00000,ko02000",1.B.4.2.1,-,-,OMP_b-brl
hypothetical protein_431,92,pfam ammecr1,-,602,97420,+,-,-,ko:K09141,-,-,-,-,ko00000,-,-,-,AMMECR1
hypothetical protein_530,96,COG2931 RTX toxins and related Ca2 -binding proteins,-,4607,104023,-,-,-,-,-,-,-,-,-,-,-,-,"HCBP_related,He_PIG,HemolysinCabind"
hypothetical protein_239,97,-,-,584,108627,-,-,-,-,-,-,-,-,-,-,-,-,-
C4-dicarboxylic acid transporter DauA,107,sulphate transporter,-,1712,123121,-,-,-,ko:K03321,-,-,-,-,"ko00000,ko02000",2.A.53.3,-,-,"STAS,Sulfate_transp"
Membrane-bound lytic murein transglycosylase F,109,"Murein-degrading enzyme that degrades murein glycan strands and insoluble, high-molecular weight murein sacculi, with the concomitant formation of a 1,6-anhydromuramoyl product. Lytic transglycosylases (LTs) play an integral role in the metabolism of the peptidoglycan (PG) sacculus. Their lytic action creates space within the PG sacculus to allow for its expansion as well as for the insertion of various structures such as secretion systems and flagella",mltF,1457,125645,+,"GO:0005575,GO:0005623,GO:0009279,GO:0016020,GO:0019867,GO:0030312,GO:0030313,GO:0031975,GO:0044462,GO:0044464,GO:0071944",-,ko:K18691,-,-,-,-,"ko00000,ko01000,ko01011",-,-,-,"SBP_bac_3,SLT"
Adaptive-response sensory-kinase SasA_36,112,response regulator,-,1184,131728,+,-,-,-,-,-,-,-,-,-,-,-,"HD_5,Response_reg"
hypothetical protein_35,113,response regulator,-,1148,132950,+,-,-,-,-,-,-,-,-,-,-,-,"HD_5,Response_reg"
hypothetical protein_309,114,-,-,398,134945,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_34,115,17 kDa surface antigen,-,545,135603,+,-,-,-,-,-,-,-,-,-,-,-,Rick_17kDa_Anti
hypothetical protein_33,116,-,-,386,136184,+,-,-,-,-,-,-,-,-,-,-,-,-
Adaptive-response sensory-kinase SasA_308,118,GHKL domain,-,1355,137259,+,-,-,-,-,-,-,-,-,-,-,-,HATPase_c
Ribokinase,119,PFAM PfkB domain protein,-,836,138665,+,-,2.1.1.72,ko:K00571,-,-,-,-,"ko00000,ko01000,ko02048",-,-,-,PfkB
Inner membrane protein YbaN,120,Membrane,-,446,139629,+,-,-,ko:K09790,-,-,-,-,ko00000,-,-,-,DUF454
hypothetical protein_605,129,Hemerythrin HHE cation binding domain,-,620,151063,-,-,-,-,-,-,-,-,-,-,-,-,Hemerythrin
hypothetical protein_604,131,PFAM NnrS family protein,-,1154,152701,-,-,-,ko:K07234,-,-,-,-,ko00000,-,-,-,NnrS
hypothetical protein_317,132,Domain of unknown function (DUF427),-,815,154198,+,-,-,-,-,-,-,-,-,-,-,-,NTP_transf_9
hypothetical protein_316,143,Suf system fes assembly protein,iscU,392,164808,+,-,-,ko:K04488,-,-,-,-,ko00000,-,-,-,NifU_N
Photosystem I assembly protein Ycf3,147,TIGRFAM type IV pilus biogenesis stability protein PilW,-,773,167180,+,-,-,ko:K02656,-,-,-,-,"ko00000,ko02035,ko02044",-,-,-,"LysM,TPR_10,TPR_14,TPR_16,TPR_17,TPR_19,TPR_2,TPR_6,TPR_7,TPR_8"
Cytoskeleton protein RodZ,148,Cytoskeletal protein that is involved in cell-shape control through regulation of the length of the long axis,rodZ,1091,167940,+,"GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0008150,GO:0008360,GO:0016020,GO:0016021,GO:0022603,GO:0022604,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0065007,GO:0065008,GO:0071944",-,ko:K15539,-,-,-,-,ko00000,-,-,-,"DUF4115,HTH_25"
hypothetical protein_47,150,protein conserved in bacteria,-,641,170516,+,-,-,-,-,-,-,-,-,-,-,-,TPR_21
Outer membrane protein assembly factor BamB,151,"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane",bamB,1151,171154,+,-,-,ko:K17713,-,-,-,-,"ko00000,ko02000",1.B.33.1,-,-,"PQQ_2,PQQ_3"
hypothetical protein_46,152,Transport and Golgi organisation 2,-,761,172322,+,-,-,-,-,-,-,-,-,-,-,-,TANGO2
hypothetical protein_45,165,Diguanylate cyclase,yeaP,1160,185834,+,"GO:0003674,GO:0003824,GO:0016740,GO:0016772,GO:0016779,GO:0052621",2.7.7.65,"ko:K13069,ko:K21021","ko02025,map02025",-,R08057,-,"ko00000,ko00001,ko01000",-,-,-,"GAF,GAF_2,GAF_3,GGDEF"
"3',5'-nucleoside bisphosphate phosphatase",166,pfam php,-,884,187220,+,-,3.1.3.97,ko:K07053,-,-,"R00188,R11188",RC00078,"ko00000,ko01000",-,-,-,PHP
hypothetical protein_315,167,-,-,257,188283,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_44,169,WLM domain,-,722,189864,+,-,-,ko:K07043,-,-,-,-,ko00000,-,-,-,DUF45
hypothetical protein_43,172,Peptidase_C39 like family,-,992,194659,-,-,-,-,-,-,-,-,-,-,-,-,"Peptidase_C39_2,TPR_16,TPR_19,TPR_8"
hypothetical protein_314,173,-,-,416,195651,-,-,-,-,-,-,-,-,-,-,-,-,-
Cyclic-di-GMP receptor FimW,181,-,-,1754,205121,-,-,-,-,-,-,-,-,-,-,-,-,-
N-(5'-phosphoribosyl)anthranilate isomerase,195,Belongs to the TrpF family,trpF,713,221439,+,-,5.3.1.24,ko:K01817,"ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230",M00023,R03509,RC00945,"ko00000,ko00001,ko00002,ko01000",-,-,-,PRAI
Dihydrofolate synthase/folylpolyglutamate synthase,199,Belongs to the folylpolyglutamate synthase family,-,1280,225187,+,-,"6.3.2.12,6.3.2.17",ko:K11754,"ko00790,ko01100,map00790,map01100","M00126,M00841","R00942,R02237,R04241","RC00064,RC00090,RC00162","ko00000,ko00001,ko00002,ko01000",-,-,-,Mur_ligase_M
hypothetical protein_42,207,Domain of Unknown Function (DUF349),-,2750,233047,+,-,-,-,-,-,-,-,-,-,-,-,DUF349
Outer membrane protein assembly factor BamE,209,"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane",bamE,401,236214,-,"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0008104,GO:0008150,GO:0009279,GO:0009987,GO:0016020,GO:0016021,GO:0016043,GO:0019867,GO:0022607,GO:0030312,GO:0030313,GO:0030674,GO:0031224,GO:0031230,GO:0031241,GO:0031246,GO:0031975,GO:0032991,GO:0033036,GO:0034613,GO:0042221,GO:0042802,GO:0043163,GO:0043165,GO:0044085,GO:0044091,GO:0044425,GO:0044462,GO:0044464,GO:0045184,GO:0045203,GO:0045229,GO:0046677,GO:0050896,GO:0051179,GO:0051205,GO:0051234,GO:0051641,GO:0060090,GO:0061024,GO:0070727,GO:0071709,GO:0071840,GO:0071944,GO:0072657,GO:0090150,GO:0098552,GO:0098796,GO:1990063",-,ko:K06186,-,-,-,-,"ko00000,ko02000",1.B.33.1,-,-,SmpA_OmlA
tRNA-modifying protein YgfZ,220,Belongs to the GcvT family,-,1019,247565,-,-,-,ko:K06980,-,-,-,-,"ko00000,ko03016",-,-,-,"GCV_T,GCV_T_C"
FAD assembly factor SdhE,225,"An FAD assembly protein, which accelerates covalent attachment of the cofactor into other proteins. Plays an essential role in the assembly of succinate dehydrogenase (SDH, respiratory complex II), an enzyme complex that is a component of both the tricarboxylic acid cycle and the electron transport chain, and which couples the oxidation of succinate to fumarate with the reduction of ubiquinone (coenzyme Q) to ubiquinol. Required for flavinylation (covalent attachment of FAD) of the flavoprotein subunit SdhA of SDH",sdhE,239,252217,+,"GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006105,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0015980,GO:0016043,GO:0016999,GO:0017013,GO:0017144,GO:0018065,GO:0018293,GO:0019538,GO:0019752,GO:0022607,GO:0034552,GO:0034622,GO:0036211,GO:0043170,GO:0043412,GO:0043436,GO:0043648,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044281,GO:0045333,GO:0055114,GO:0065003,GO:0071704,GO:0071840,GO:0072350,GO:1901564","1.3.5.1,1.3.5.4","ko:K00240,ko:K09159","ko00020,ko00190,ko00650,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00190,map00650,map00720,map01100,map01110,map01120,map01130,map01200","M00009,M00011,M00149,M00173,M00374,M00376",R02164,RC00045,"ko00000,ko00001,ko00002,ko01000,ko02048",-,-,-,Sdh5
hypothetical protein_366,226,-,-,449,252404,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_78,229,PFAM Anti sigma-E protein RseA,-,641,255304,+,-,-,ko:K03597,-,-,-,-,"ko00000,ko03021",-,-,-,RseA_N
Sigma factor AlgU regulatory protein MucB,230,PFAM MucB RseB,-,1043,255929,+,-,-,ko:K03598,-,-,-,-,"ko00000,ko03021",-,-,-,"MucB_RseB,MucB_RseB_C"
hypothetical protein_79,233,Domain of unknown function (DUF4845),-,371,260397,+,-,-,-,-,-,-,-,-,-,-,-,DUF4845
DNA repair protein RecO,236,Involved in DNA repair and RecF pathway recombination,recO,749,262381,+,-,-,ko:K03584,"ko03440,map03440",-,-,-,"ko00000,ko00001,ko03400",-,-,-,"RecO_C,RecO_N"
Holo-[acyl-carrier-protein] synthase,238,Transfers the 4'-phosphopantetheine moiety from coenzyme A to a Ser of acyl-carrier-protein,acpS,383,263879,+,"GO:0003674,GO:0003824,GO:0006082,GO:0006464,GO:0006629,GO:0006631,GO:0006633,GO:0006807,GO:0008150,GO:0008152,GO:0008610,GO:0008897,GO:0009058,GO:0009987,GO:0016053,GO:0016740,GO:0016772,GO:0016780,GO:0018070,GO:0018193,GO:0018209,GO:0018215,GO:0019538,GO:0019752,GO:0032787,GO:0036211,GO:0043170,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044281,GO:0044283,GO:0046394,GO:0071704,GO:0072330,GO:1901564,GO:1901576",2.7.8.7,ko:K00997,"ko00770,map00770",-,R01625,RC00002,"ko00000,ko00001,ko01000",-,-,-,ACPS
Signal transduction histidine-protein kinase BarA,240,Histidine kinase,barA,2060,265053,-,"GO:0000155,GO:0000160,GO:0000302,GO:0003674,GO:0003824,GO:0004672,GO:0004673,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006979,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009636,GO:0009927,GO:0009987,GO:0010033,GO:0010035,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0016775,GO:0018106,GO:0018193,GO:0018202,GO:0019538,GO:0023014,GO:0023052,GO:0035556,GO:0036211,GO:0042221,GO:0042493,GO:0042542,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0046677,GO:0046777,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0060089,GO:0065007,GO:0070887,GO:0071310,GO:0071704,GO:0071944,GO:0140096,GO:1901564,GO:1901700",2.7.13.3,ko:K07678,"ko02020,ko02025,ko02026,ko05111,map02020,map02025,map02026,map05111",M00475,-,-,"ko00000,ko00001,ko00002,ko01000,ko01001,ko02022",-,-,-,"DUF2222,HAMP,HATPase_c,HisKA,Hpt,Response_reg"
hypothetical protein_367,244,-,-,416,270311,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_80,245,Uncharacterized protein conserved in bacteria (DUF2325),-,446,270788,-,-,-,-,-,-,-,-,-,-,-,-,DUF2325
hypothetical protein_81,246,-,-,281,271564,-,-,-,-,-,-,-,-,-,-,-,-,-
Transketolase 1,248,"Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate",-,2066,272674,+,-,2.2.1.1,ko:K00615,"ko00030,ko00710,ko01051,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01051,map01100,map01110,map01120,map01130,map01200,map01230","M00004,M00007,M00165,M00167","R01067,R01641,R01830,R06590","RC00032,RC00226,RC00571,RC01560","ko00000,ko00001,ko00002,ko01000",-,-,-,"Transket_pyr,Transketolase_C,Transketolase_N"
"Phosphoribulokinase, plasmid",251,PFAM Phosphoribulokinase uridine kinase,-,884,276012,+,-,2.7.1.19,ko:K00855,"ko00710,ko01100,ko01120,ko01200,map00710,map01100,map01120,map01200","M00165,M00166",R01523,"RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,-,PRK
"Fructose-1,6-bisphosphatase class 1",252,"D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1",fbp,1028,276934,+,-,3.1.3.11,ko:K03841,"ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko04152,ko04910,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map04152,map04910","M00003,M00165,M00167,M00344","R00762,R04780",RC00017,"ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,FBPase
Proline iminopeptidase,253,Belongs to the peptidase S33 family,-,971,278177,+,-,3.4.11.5,ko:K01259,"ko00330,map00330",-,R00135,-,"ko00000,ko00001,ko01000,ko01002",-,-,-,Abhydrolase_1
hypothetical protein_325,256,Putative transposase of IS4/5 family (DUF4096),-,341,282845,+,-,-,-,-,-,-,-,-,-,-,-,DUF4096
IS5 family transposase ISNGR9,258,Transposase DDE domain,-,98,283428,+,-,-,-,-,-,-,-,-,-,-,-,"DDE_Tnp_1,DDE_Tnp_1_2"
Phosphatidate cytidylyltransferase,268,Belongs to the CDS family,-,833,293411,+,-,2.7.7.41,ko:K00981,"ko00564,ko01100,ko01110,ko04070,map00564,map01100,map01110,map04070",M00093,R01799,RC00002,"ko00000,ko00001,ko00002,ko01000",-,-,-,CTP_transf_1
UDP-3-O-acylglucosamine N-acyltransferase,273,"Catalyzes the N-acylation of UDP-3-O-acylglucosamine using 3-hydroxyacyl-ACP as the acyl donor. Is involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell",lpxD,1064,299722,+,-,2.3.1.191,ko:K02536,"ko00540,ko01100,map00540,map01100",M00060,R04550,"RC00039,RC00166","ko00000,ko00001,ko00002,ko01000,ko01005",-,-,-,"Hexapep,Hexapep_2,LpxD"
tRNA(Ile)-lysidine synthase,280,"Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine",tilS,1340,308827,+,-,6.3.4.19,ko:K04075,-,-,R09597,"RC02633,RC02634","ko00000,ko01000,ko03016",-,-,-,"ATP_bind_3,TilS,TilS_C"
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,285,Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP),ispD,725,314692,+,-,2.7.7.60,ko:K00991,"ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130",M00096,R05633,RC00002,"ko00000,ko00001,ko00002,ko01000",-,-,-,IspD
Murein hydrolase activator NlpD,291,peptidase,-,767,318863,+,-,-,ko:K06194,-,-,-,-,ko00000,1.A.34.1.2,-,-,"LysM,Peptidase_M23"
hypothetical protein_41,293,Protein of unknown function (DUF498/DUF598),-,374,320881,-,-,-,-,-,-,-,-,-,-,-,-,DUF498
hypothetical protein_40,297,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity",-,1040,325138,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_313,299,-,-,668,327896,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_39,300,-,-,1481,328662,-,-,-,-,-,-,-,-,-,-,-,-,-
Tail-specific protease,301,Belongs to the peptidase S41A family,-,2102,330415,-,-,3.4.21.102,ko:K03797,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,"DUF3340,PDZ,Peptidase_S41"
"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase",303,"Serine aminopeptidase, S33",-,860,335426,+,-,-,-,-,-,-,-,-,-,-,-,Abhydrolase_6
hypothetical protein_38,304,-,-,488,336344,-,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_596,307,PilZ domain,-,623,338751,+,-,-,-,-,-,-,-,-,-,-,-,PilZ
Acetyltransferase,314,COG0454 Histone acetyltransferase HPA2 and related acetyltransferases,yjcF,440,346556,-,-,-,-,-,-,-,-,-,-,-,-,Acetyltransf_10
hypothetical protein_144,317,RibD C-terminal domain,-,818,349948,-,-,-,-,-,-,-,-,-,-,-,-,RibD_C
Bicyclomycin resistance protein,333,Drug resistance transporter Bcr CflA subfamily,-,1217,359285,-,-,-,ko:K07552,-,-,-,-,"ko00000,ko02000",2.A.1.2,-,-,MFS_1
putative TonB-dependent receptor,339,TonB-dependent Receptor Plug,-,1997,364753,+,-,-,ko:K02014,-,-,-,-,"ko00000,ko02000",1.B.14,-,-,"Plug,TonB_dep_Rec"
hypothetical protein_603,340,-,-,902,366929,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_242,341,Evidence 5 No homology to any previously reported sequences,-,335,368025,+,-,-,-,-,-,-,-,-,-,-,-,-
hypothetical protein_203,342,-,-,242,368659,+,-,-,-,-,-,-,-,-,-,-,-,-
putative peptidyl-prolyl cis-trans isomerase,343,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides,ppiB,524,369323,+,-,5.2.1.8,"ko:K01802,ko:K03767,ko:K03768","ko01503,ko04217,map01503,map04217",-,-,-,"ko00000,ko00001,ko01000,ko03110,ko04147",-,-,-,Pro_isomerase
Thiosulfate sulfurtransferase GlpE,344,"Catalyzes, although with low efficiency, the sulfur transfer reaction from thiosulfate to cyanide",glpE,323,369987,-,-,-,-,-,-,-,-,-,-,-,-,Rhodanese
hypothetical protein_168,345,Hemerythrin HHE cation binding domain,-,602,370601,+,-,-,-,-,-,-,-,-,-,-,-,Hemerythrin
UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase,348,Polysaccharide biosynthesis protein,-,1988,373004,+,-,-,-,-,-,-,-,-,-,-,-,"CoA_binding_3,Polysacc_synt_2"
Protein YdeP,349,Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,-,2327,375152,+,-,-,ko:K00372,"ko00910,ko01120,map00910,map01120",M00531,"R00798,R01106",RC02812,"ko00000,ko00001,ko00002,ko01000",-,-,-,"Fer2_BFD,Molybdop_Fe4S4,Molybdopterin,Molydop_binding"
Methylated-DNA--protein-cysteine methyltransferase,352,Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) and O4-methylthymine (O4-MeT) in DNA. Repairs the methylated nucleobase in DNA by stoichiometrically transferring the methyl group to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated,-,545,379591,+,-,2.1.1.63,ko:K00567,-,-,-,-,"ko00000,ko01000,ko03400",-,-,-,"DNA_binding_1,Methyltransf_1N"
Membrane-bound lytic murein transglycosylase D,357,lytic transglycosylase,-,1619,384296,-,-,-,ko:K08307,-,-,-,-,"ko00000,ko01000,ko01011",-,-,-,"LysM,SLT"
hypothetical protein_429,359,PFAM methyltransferase,-,734,387042,+,-,-,-,-,-,-,-,-,-,-,-,Methyltransf_11
5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB,362,"subfamily IA, variant 1",-,722,388962,+,-,"3.1.3.102,3.1.3.104",ko:K20862,"ko00740,ko01100,ko01110,map00740,map01100,map01110",M00125,"R00548,R07280",RC00017,"ko00000,ko00001,ko00002,ko01000",-,-,-,HAD_2
