,Gene Start,Gene Size,Strand,Gene Product,Accession
114,452651,1166,-,hypothetical protein_134,431
115,453851,596,-,hypothetical protein_483,432
116,457397,467,+,hypothetical protein_133,436
117,458067,419,-,hypothetical protein_482,437
118,458807,1388,-,hypothetical protein_481,438
119,460333,1595,-,hypothetical protein_480,439
120,463003,362,+,hypothetical protein_132,441
121,468163,896,+,RCS-specific HTH-type transcriptional activator RclR,448
122,470527,1076,+,Beta-barrel assembly-enhancing protease_620,450
123,471731,338,+,hypothetical protein_190,451
124,473051,1301,+,hypothetical protein_597,453
125,476541,968,+,Ferrous-iron efflux pump FieF,457
126,512148,1280,-,hypothetical protein_536,496
127,513464,779,-,hypothetical protein_376,497
128,514443,2084,-,hypothetical protein_375,498
129,516540,1391,-,hypothetical protein_374,499
130,517991,935,+,hypothetical protein_373,500
131,518912,743,-,hypothetical protein_372,501
132,519804,731,+,hypothetical protein_371,502
133,520528,767,+,Exopolysaccharide glucosyl ketal-pyruvate-transferase,503
134,521292,791,+,hypothetical protein_370,504
135,522321,1334,+,Intermembrane transport protein PqiA,505
136,523648,1643,+,Intermembrane transport protein PqiB,506
137,525288,626,+,Intermembrane transport lipoprotein PqiC,507
138,527309,1370,+,Proline/betaine transporter,509
139,533830,578,+,hypothetical protein_88,517
140,537274,569,+,hypothetical protein_87,521
141,550563,830,-,hypothetical protein_84,532
142,551571,581,-,hypothetical protein_83,533
143,558447,1205,-,Cobalt-zinc-cadmium resistance protein CzcB,540
144,559652,1313,-,Cobalt-zinc-cadmium resistance protein CzcC,541
145,561049,269,-,hypothetical protein_368,542
146,601400,755,+,hypothetical protein_231,579
147,602157,923,+,Vitamin B12-binding protein,580
148,603123,557,+,hypothetical protein_143,581
149,606465,2528,+,Maltodextrin phosphorylase,586
150,609054,1265,+,Glucose-1-phosphate adenylyltransferase,587
151,612045,1562,+,Glycogen synthase,589
152,618837,1472,-,hypothetical protein_516,595
153,622211,1004,-,Glutathionyl-hydroquinone reductase YqjG,599
154,625800,1325,-,putative protein_528,602
155,628389,437,-,hypothetical protein_529,604
156,631818,665,-,"Propane 2-monooxygenase, reductase component_157",607
157,662999,683,+,Intermembrane phospholipid transport system binding protein MlaC_621,634
158,663633,1169,-,hypothetical protein_622,635
159,664804,2513,-,hypothetical protein_26,636
160,668277,794,+,hypothetical protein_291,638
161,669068,1172,+,Beta-barrel assembly-enhancing protease_290,639
162,670237,599,+,hypothetical protein_289,640
163,670865,896,-,hypothetical protein_2,641
164,672339,980,-,hypothetical protein_25,643
165,673842,395,+,hypothetical protein_288,645
166,674277,1073,+,hypothetical protein_287,646
167,677913,1070,-,hypothetical protein_286,649
168,679200,665,-,Intermembrane phospholipid transport system binding protein MlaC,650
169,679989,437,-,hypothetical protein_285,652
170,681084,569,+,hypothetical protein_284,653
171,682004,1553,+,Glucans biosynthesis protein G,654
172,683529,1985,+,Glucans biosynthesis glucosyltransferase H,655
173,685705,356,+,hypothetical protein_192,656
174,686139,323,+,Thioredoxin 1,657
175,686486,581,-,hypothetical protein_283,658
176,687117,1634,-,hypothetical protein_282,659
177,689358,359,+,hypothetical protein_281,660
178,697056,1685,+,Cell division protein DamX,669
179,698826,1139,+,hypothetical protein_623,670
180,718558,677,-,hypothetical protein_612,691
181,719243,482,-,hypothetical protein_611,692
182,719722,968,-,hypothetical protein_610,693
183,720746,536,-,hypothetical protein_609,694
184,721263,2579,-,hypothetical protein_608,695
185,723857,479,-,hypothetical protein_256,696
186,724333,344,-,hypothetical protein_255,697
187,724680,1508,-,hypothetical protein_254,698
188,726185,734,-,hypothetical protein_253,699
189,726919,1151,-,hypothetical protein_252,700
190,728076,497,-,hypothetical protein_251,701
191,728655,1226,-,hypothetical protein_250,702
192,729909,716,-,hypothetical protein_249,703
193,734382,329,+,hypothetical protein_248,709
194,734760,947,+,hypothetical protein_247,710
195,735756,659,+,hypothetical protein_9,711
196,736620,1103,+,hypothetical protein_4,712
197,746891,1889,-,ATP-dependent DNA helicase RecQ,722
198,749335,989,-,hypothetical protein_522,724
199,750439,1001,-,Tyrosine recombinase XerC,725
200,752707,2420,-,Flavohemoprotein_524,727
201,755156,2198,-,Fe(3+)-pyochelin receptor,728
202,757502,1685,-,ABC transporter ATP-binding/permease protein YojI,729
203,759184,173,-,hypothetical protein_216,730
204,776550,3230,-,Tyrocidine synthase 3,736
205,779785,9224,-,D-alanine--D-alanyl carrier protein ligase,737
206,789182,215,+,Protein MbtH,738
207,789407,2498,+,Aculeacin-A acylase,739
208,791891,998,-,hypothetical protein_471,740
209,793510,704,+,hypothetical protein_472,741
210,794709,1055,+,DNA polymerase IV,743
211,795836,1025,-,Arginine N-succinyltransferase,744
212,796858,1334,-,Succinyl-diaminopimelate desuccinylase,745
213,799805,359,+,hypothetical protein_127,747
214,800291,1745,+,hypothetical protein_128,748
215,847166,503,+,hypothetical protein_129,792
216,848188,1037,+,hypothetical protein_130,794
217,849281,548,+,hypothetical protein_475,795
218,849892,3572,+,Type IV pilus biogenesis factor PilY1,796
219,853602,320,+,hypothetical protein_131,797
220,854159,440,+,hypothetical protein_476,798
221,854849,557,+,hypothetical protein_477,799
222,867472,689,-,Phosphoserine phosphatase 1,814
223,870378,179,-,hypothetical protein_538,818
224,870826,482,+,hypothetical protein_539,819
225,874050,782,+,hypothetical protein_540,823
226,874866,458,+,hypothetical protein_541,824
227,875482,1982,+,Putative asparagine synthetase [glutamine-hydrolyzing],825
228,878959,1010,-,hypothetical protein_159,827
229,879959,722,-,hypothetical protein_160,828
230,880762,1166,-,hypothetical protein_542,829
231,881925,2555,-,hypothetical protein_543,830
232,884705,953,+,hypothetical protein_544,831
233,885749,413,-,Ribonuclease VapC11,833
234,886149,221,-,hypothetical protein_545,834
235,886496,1298,+,D-inositol-3-phosphate glycosyltransferase_217,835
236,889106,1046,-,hypothetical protein_547,837
237,890429,890,+,hypothetical protein_548,838
238,892102,341,-,hypothetical protein_549,840
239,898634,503,+,Isopentenyl-diphosphate Delta-isomerase,845
240,899335,1904,+,hypothetical protein_550,846
241,934129,266,-,hypothetical protein_359,877
242,934385,110,-,hypothetical protein_360,878
243,934530,1706,-,Peptide transporter CstA,879
244,938512,698,-,Phosphoenolpyruvate guanylyltransferase,882
245,942511,1058,-,Trans-aconitate 2-methyltransferase,888
246,944963,431,-,hypothetical protein_303,891
247,945548,449,-,HTH-type transcriptional regulator CueR,892
248,947307,878,-,"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase_564",894
249,948922,809,-,Protein MtfA,896
250,951484,1367,-,Glutamate--cysteine ligase EgtA,899
251,953050,1544,-,putative protein_450,900
252,967478,239,-,hypothetical protein_56,914
253,969517,314,-,hypothetical protein_329,917
254,969873,374,-,Putative fluoride ion transporter CrcB,918
255,986511,839,-,Hydrogenase maturation factor HypB,931
256,987350,332,-,Hydrogenase maturation factor HybF,932
257,987695,1094,-,Carbamoyl dehydratase HypE,933
258,988786,1172,-,Hydrogenase maturation factor HypD,934
259,990023,278,-,Hydrogenase maturation factor HybG,935
260,990306,2345,-,Carbamoyltransferase HypF,936
261,996432,461,-,hypothetical protein_504,941
262,998342,1019,+,putative protein_505,943
263,999639,1547,+,Adaptive-response sensory-kinase SasA_506,944
264,1001206,446,+,Response regulator rcp1,945
265,1001659,2456,+,hypothetical protein_507,946
266,1004788,905,-,hypothetical protein_508,948
267,1006046,671,+,hypothetical protein_509,949
268,1006736,1049,+,hypothetical protein_510,950
269,1008035,1649,-,Acetolactate synthase,951
270,1009718,1439,-,hypothetical protein_511,952
271,1012550,1016,-,Zinc-type alcohol dehydrogenase-like protein,954
272,1020683,3353,-,RecBCD enzyme subunit RecB_512,960
273,1024033,2669,-,hypothetical protein_151,961
274,1030341,524,-,hypothetical protein_487,964
275,1030954,812,-,hypothetical protein_486,965
276,1033405,1061,-,hypothetical protein_135,968
277,1035082,680,-,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,970
278,1073877,845,-,hypothetical protein_187,1002
279,1076019,521,-,Ribosome maturation factor RimM,1005
280,1082119,1409,-,Glutamate--tRNA ligase,1011
281,1084832,1421,-,hypothetical protein_186,1014
282,1086846,818,-,Trehalose-phosphate phosphatase,1016
283,1125285,479,-,hypothetical protein_624,1064
284,1125769,293,-,hypothetical protein_19,1065
285,1126192,734,-,hypothetical protein_625,1066
286,1142278,1202,-,hypothetical protein_626,1084
287,1143486,1958,-,hypothetical protein_627,1085
288,1145497,947,-,Peptidoglycan hydrolase FlgJ,1086
289,1149058,1112,-,putative multidrug ABC transporter permease YbhR,1089
290,1150173,1145,-,putative multidrug ABC transporter permease YbhS,1090
291,1151315,1754,-,putative multidrug ABC transporter ATP-binding protein YbhF,1091
292,1153066,1037,-,hypothetical protein_264,1092
293,1155684,383,-,hypothetical protein_16,1094
294,1156574,1325,+,CAI-1 autoinducer sensor kinase/phosphatase CqsS,1095
295,1157892,1028,+,hypothetical protein_15,1096
296,1160715,1844,-,Protease 4,1098
297,1166532,1469,-,N-succinylglutamate 5-semialdehyde dehydrogenase,1101
298,1168104,680,-,hypothetical protein_298,1102
299,1173244,602,+,Dephospho-CoA kinase,1106
300,1173864,839,+,Cell division protein ZapD,1107
301,1180073,509,+,hypothetical protein_27,1112
302,1193034,1361,-,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase,1125
303,1194395,1508,-,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase",1126
304,1200955,2159,+,Penicillin-binding protein activator LpoA,1132
305,1203107,359,+,hypothetical protein_299,1133
306,1218705,569,+,Lipopolysaccharide export system protein LptC,1153
307,1219255,569,+,Lipopolysaccharide export system protein LptA,1154
308,1223304,845,+,HPr kinase/phosphorylase,1159
309,1229710,3794,-,hypothetical protein_29,1166
310,1236206,371,-,Ribosomal silencing factor RsfS,1170
311,1238610,1022,-,hypothetical protein_30,1173
312,1239651,494,-,LPS-assembly lipoprotein LptE,1174
313,1242974,524,+,hypothetical protein_31,1176
314,1243851,737,+,Oxygen regulatory protein NreC,1177
315,1245438,476,-,hypothetical protein_6,1179
316,1246245,776,-,hypothetical protein_228,1181
317,1247316,1160,-,hypothetical protein_207,1182
318,1261971,536,-,hypothetical protein_328,1194
319,1263752,272,-,hypothetical protein_327,1196
320,1269883,731,-,hypothetical protein_55,1204
321,1271895,128,-,hypothetical protein_326,1207
322,1274874,560,-,hypothetical protein_54,1210
323,1279190,566,-,Chorismate pyruvate-lyase,1215
324,1290166,251,+,hypothetical protein_52,1226
325,1290571,353,+,hypothetical protein_628,1227
326,1315587,239,+,hypothetical protein_577,1255
327,1315792,404,+,hypothetical protein_576,1256
328,1320168,653,+,hypothetical protein_175,1262
329,1320977,758,+,hypothetical protein_174,1263
330,1321910,632,+,Molybdenum cofactor guanylyltransferase,1264
331,1323962,1250,+,hypothetical protein_173,1266
332,1325377,425,+,hypothetical protein_172,1267
333,1339660,227,-,hypothetical protein_617,1284
334,1341387,674,-,hypothetical protein_428,1286
335,1376498,386,-,tRNA(fMet)-specific endonuclease VapC,1312
336,1376881,230,-,hypothetical protein_492,1313
337,1381434,1154,+,hypothetical protein_136,1318
338,1382861,353,+,hypothetical protein_490,1319
339,1383336,515,-,Heme oxygenase HutZ,1320
340,1384102,317,-,hypothetical protein_489,1321
341,1384616,1223,+,Cyclic di-GMP phosphodiesterase CdgJ_488,1322
342,1408795,251,-,hypothetical protein_397,1359
343,1412041,1082,-,hypothetical protein_629,1363
344,1413120,1364,-,hypothetical protein_630,1364
345,1418171,1649,+,Protein-glutamate methylesterase/protein-glutamine glutaminase,1370
346,1419817,2147,-,Signal transduction histidine-protein kinase BarA_304,1371
347,1421969,551,-,hypothetical protein_305,1372
348,1422625,422,-,hypothetical protein_306,1373
349,1423858,1391,-,Sodium-dependent dicarboxylate transporter SdcS,1374
350,1425627,2045,+,Elongation factor G-like protein,1375
351,1427725,947,+,hypothetical protein_361,1376
352,1428876,209,+,hypothetical protein_211,1377
353,1429057,770,+,hypothetical protein_212,1378
354,1429950,815,+,hypothetical protein_76,1379
355,1430902,539,+,hypothetical protein_75,1380
356,1432256,332,+,hypothetical protein_8,1383
357,1434625,224,-,hypothetical protein_64,1385
358,1435508,677,-,hypothetical protein_393,1386
359,1436169,1169,-,8-amino-7-oxononanoate synthase 2,1387
360,1438874,842,-,Aminodeoxychorismate lyase,1390
361,1439709,1406,-,Isochorismate synthase MenF,1391
362,1444941,659,-,Peroxiredoxin,1397
363,1445868,821,-,hypothetical protein_394,1398
364,1446641,482,-,hypothetical protein_395,1399
365,1462453,1109,+,Putative transport protein YhhT,1412
366,1465885,578,+,hypothetical protein_396,1416
367,1466942,1235,+,Na(+)/H(+) antiporter NhaP,1417
368,1474284,194,+,hypothetical protein_584,1425
369,1477476,311,+,(S)-ureidoglycine--glyoxylate transaminase,1430
370,1478294,920,+,lipid kinase YegS,1431
371,1479503,539,-,hypothetical protein_585,1432
372,1480911,746,+,hypothetical protein_181,1434
373,1481801,371,-,putative alcohol dehydrogenase AdhA,1435
374,1482374,395,-,hypothetical protein_182,1436
375,1484915,125,-,Ktr system potassium uptake protein A,1439
376,1487199,1124,-,hypothetical protein_184,1443
377,1488573,605,-,hypothetical protein_185,1444
378,1493504,1223,-,hypothetical protein_152,1449
379,1494724,503,-,Cytochrome c-type biogenesis protein CcmH,1450
380,1499131,974,-,hypothetical protein_153,1456
381,1501382,1688,-,hypothetical protein_154,1458
382,1503183,2213,-,GTP pyrophosphokinase,1459
383,1505638,539,+,hypothetical protein_18,1460
384,1507869,281,+,Foldase protein PrsA_213,1463
385,1518165,1031,-,Beta-hexosaminidase,1473
386,1519490,758,-,hypothetical protein_107,1474
387,1521657,662,+,Kynurenine formamidase,1477
388,1523321,101,+,hypothetical protein_427,1479
389,1532480,392,-,hypothetical protein_263,1491
390,1535481,1091,+,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",1495
391,1536641,269,-,hypothetical protein_262,1496
392,1538111,860,+,hypothetical protein_82,1497
393,1539061,1811,-,Lipid A export ATP-binding/permease protein MsbA,1498
394,1541815,938,+,2-dehydropantoate 2-reductase,1500
395,1542758,2201,+,tRNA(Met) cytidine acetyltransferase TmcA,1501
396,1545773,314,-,putative signaling protein,1503
397,1546171,1058,-,Histidine N-alpha-methyltransferase,1504
398,1547269,776,+,Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase,1505
399,1548050,1166,+,Hercynine oxygenase,1506
400,1553122,1592,+,Na(+)/H(+) antiporter NhaB,1509
401,1555671,380,-,hypothetical protein_570,1511
402,1556139,1250,-,Imidazolonepropionase,1512
403,1557405,1706,-,Urocanate hydratase,1513
404,1559291,1364,+,8-oxoguanine deaminase,1514
405,1563756,605,+,hypothetical protein_571,1520
406,1565522,740,+,hypothetical protein_573,1522
407,1566264,746,+,CTP:phosphoglutamine cytidylyltransferase,1523
408,1567000,1652,+,2-methylisocitrate lyase,1524
409,1568664,1148,+,hypothetical protein_574,1525
410,1569826,1037,+,2-aminoethylphosphonate--pyruvate transaminase,1526
411,1571662,1520,+,Hopanoid C-3 methylase,1528
412,1573295,632,-,hypothetical protein_575,1529
413,1573974,1397,-,Methanethiol oxidase,1530
414,1575569,1148,-,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,1531
415,1576714,980,-,Pyruvate dehydrogenase E1 component subunit beta,1532
416,1577787,1181,-,Pyruvate dehydrogenase E1 component subunit alpha,1533
417,1584384,326,-,hypothetical protein_454,1537
418,1584898,287,-,3-oxoacyl-[acyl-carrier-protein] reductase FabG,1538
419,1585693,173,-,hypothetical protein,1540
420,1597107,977,-,hypothetical protein_632,1550
421,1601187,215,-,hypothetical protein_121,1555
422,1601590,266,+,hypothetical protein_120,1556
423,1601947,497,-,hypothetical protein_119,1557
424,1605113,1913,+,Translocation and assembly module subunit TamA,1559
425,1607029,3965,+,Translocation and assembly module subunit TamB,1560
426,1611622,1265,-,Proton/glutamate-aspartate symporter,1562
427,1613115,1331,+,hypothetical protein_452,1563
428,1623738,938,-,hypothetical protein_117,1572
429,1624700,1112,-,Cysteine protease StiP,1573
430,1625809,728,-,hypothetical protein_116,1574
431,1626534,1136,-,hypothetical protein_115,1575
432,1627807,575,-,General stress protein 16U,1576
433,1629686,452,-,hypothetical protein_377,1578
434,1630169,1193,-,hypothetical protein_378,1579
435,1631399,584,-,Stress response protein SCP2,1580
436,1635507,470,-,Guanine deaminase,1584
437,1682953,1841,-,Asparagine synthetase [glutamine-hydrolyzing] 1,1640
438,1687138,731,-,"2-phytyl-1,4-beta-naphthoquinone methyltransferase, chloroplastic",1643
439,1726861,959,-,hypothetical protein_355,1678
440,1727828,1385,-,hypothetical protein_354,1679
441,1729210,1169,-,D-inositol-3-phosphate glycosyltransferase_353,1680
442,1733592,1175,-,D-inositol-3-phosphate glycosyltransferase_352,1683
443,1734808,1622,-,hypothetical protein_351,1684
444,1736427,1334,-,hypothetical protein_350,1685
445,1742494,899,-,hypothetical protein_470,1690
446,1743415,1556,-,hypothetical protein_469,1691
447,1745964,2807,-,Beta-barrel assembly-enhancing protease_126,1693
448,1750190,2108,-,Adaptive-response sensory-kinase SasA_339,1695
449,1762002,2003,+,hypothetical protein_222,1706
450,1768053,233,+,hypothetical protein_556,1710
451,1772026,572,+,FKBP-type peptidyl-prolyl cis-trans isomerase SlyD,1715
452,1772728,347,-,hypothetical protein_164,1716
453,1775068,734,-,DnaA regulatory inactivator Hda,1721
454,1776006,1136,-,hypothetical protein_557,1722
455,1782295,3326,+,hypothetical protein_558,1729
456,1785637,1076,+,Tol-Pal system protein TolB,1730
457,1799592,1163,-,Homoserine O-succinyltransferase,1744
458,1801396,1046,+,hypothetical protein_276,1746
459,1803330,998,-,Cytochrome c551 peroxidase,1748
460,1804665,356,+,FK506-binding protein,1749
461,1818623,1115,-,Anhydro-N-acetylmuramic acid kinase,1762
462,1819735,1556,-,hypothetical protein_323,1763
463,1822335,146,-,hypothetical protein_515,1765
464,1838596,383,+,hypothetical protein_344,1777
465,1839745,956,+,hypothetical protein_345,1779
466,1840774,1178,-,hypothetical protein_66,1780
467,1842260,398,-,hypothetical protein_346,1781
468,1845965,821,+,hypothetical protein_67,1785
469,1848270,539,+,hypothetical protein_347,1788
470,1852444,980,-,hypothetical protein_68,1793
471,1853448,1004,-,hypothetical protein_69,1794
472,1854515,1103,-,Lipopolysaccharide export system permease protein LptG,1795
473,1855594,1133,-,hypothetical protein_70,1796
474,1856794,863,-,hypothetical protein_71,1797
475,1857684,1178,-,Protein YghO,1798
476,1859600,1775,+,4-hydroxyphenylalkanoate adenylyltransferase,1799
477,1861384,920,+,hypothetical protein_72,1800
478,1862358,251,+,hypothetical protein_348,1801
479,1863884,593,-,hypothetical protein_73,1803
480,1866971,353,+,hypothetical protein_349,1805
481,1867327,671,+,Cell division protein FtsN,1806
482,1867982,1037,-,hypothetical protein_74,1807
483,1874150,602,-,Tungstate uptake system ATP-binding protein TupC,1812
484,1882342,260,+,hypothetical protein_416,1820
485,1882719,176,+,hypothetical protein_417,1821
486,1886658,932,+,Recombination-associated protein RdgC,1826
487,1887643,1532,-,hypothetical protein_62,1827
488,1889172,1238,-,hypothetical protein_63,1828
489,1890602,500,+,hypothetical protein_65,1829
490,1891679,1037,-,hypothetical protein_343,1831
491,1892754,1118,-,Aldose sugar dehydrogenase YliI,1832
492,1896346,1433,+,hypothetical protein_563,1836
493,1897801,1466,+,hypothetical protein_562,1837
494,1899303,1676,+,hypothetical protein_561,1838
495,1928979,362,+,Dihydroneopterin aldolase,1874
496,1929338,491,+,hypothetical protein_517,1875
497,1932207,791,+,Undecaprenyl-diphosphatase,1878
498,1936460,800,+,hypothetical protein_246,1882
499,1939393,1718,+,RNA polymerase-associated protein RapA_236,1885
500,1941468,287,+,hypothetical protein_219,1886
501,1946067,461,+,hypothetical protein_518,1890
502,1952117,254,-,hypothetical protein_237,1898
503,1952539,1298,-,hypothetical protein_206,1899
504,1959750,464,-,hypothetical protein_199,1906
505,1960385,464,-,Mercuric resistance operon regulatory protein,1908
506,1960996,1385,-,Glucose-6-phosphate 1-dehydrogenase 1,1909
507,1962383,338,-,hypothetical protein_58,1910
508,1962744,2627,-,Transaldolase,1911
509,1995493,239,+,Trehalase_244,1944
510,1996201,1238,-,Adaptive-response sensory-kinase SasA,1947
511,1998007,371,+,hypothetical protein_7,1948
512,1999031,212,-,hypothetical protein_57,1950
513,1999562,704,+,Transcriptional regulatory protein TdiR,1951
514,2000444,1226,+,Na(+)/H(+) antiporter NhaA,1952
515,2007456,1019,-,hypothetical protein_338,1958
516,2008479,674,-,hypothetical protein_337,1959
517,2009165,1100,-,"dTDP-4-amino-4,6-dideoxy-D-glucose transaminase",1960
518,2010634,398,-,hypothetical protein_336,1961
519,2011716,1394,+,Lipopolysaccharide biosynthesis protein WzxC,1963
520,2013107,932,+,hypothetical protein_335,1964
521,2017232,1256,+,hypothetical protein_334,1967
522,2018485,209,+,hypothetical protein_333,1968
523,2018691,1049,+,hypothetical protein_332,1969
524,2019813,1142,+,Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase,1970
525,2020967,2228,+,hypothetical protein_331,1971
526,2024260,2252,+,hypothetical protein_145,1973
527,2026509,1298,+,hypothetical protein_146,1974
528,2027863,836,+,Rhamnosyltransferase WbbL,1975
529,2028684,1253,+,hypothetical protein_495,1976
530,2030427,782,+,hypothetical protein_496,1978
531,2031448,860,+,hypothetical protein_497,1979
532,2032462,1238,+,hypothetical protein_147,1980
533,2033687,869,+,hypothetical protein_148,1981
534,2039415,311,+,hypothetical protein_498,1986
535,2040374,521,+,hypothetical protein_499,1987
536,2040981,935,+,hypothetical protein_149,1988
537,2047048,755,+,Outer membrane protein assembly factor BamD,1992
538,2058714,239,+,hypothetical protein_198,2001
539,2061898,1964,+,hypothetical protein_93,2006
540,2063972,626,+,putative Ni/Fe-hydrogenase B-type cytochrome subunit,2007
541,2064540,347,+,hypothetical protein_633,2008
542,2065581,1343,+,hypothetical protein_634,2010
543,2081877,974,+,Thiamine-monophosphate kinase,2027
